2025-04-29 10:50:54 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 10:51:20 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 10:51:28 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 11:54:50 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 11:59:29 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 12:01:06 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 12:03:02 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 12:05:09 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 12:08:59 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 12:10:08 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 12:11:39 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 12:14:49 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 12:16:32 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 12:18:32 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 12:19:59 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 12:22:24 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 12:23:24 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 12:24:15 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 18:54:30 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 18:56:19 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 18:57:40 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-04-29 18:59:33 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-05-03 22:00:10 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
2025-05-03 22:15:22 | memory_logger | called_save_memory | {"args_count": 0, "kwargs": ["sender_email", "subject", "body", "tags", "memory_type"]}
